DatePosted,DateLifted,WaterbodyName,NearestTown,ARCounty,SiteID,Latitude,Longitude
5/26/2022,6/3/2022,Old River Lake,"Scott, AR",Pulaski County,NA,34.662099,-92.102485
6/8/2023,7/6/2023,Victory Lake,"Corning, AR",Clay County,NA,36.412985,-90.562403
7/6/2023,9/8/2023,Lake June,"Stamps, AR",LaFayette County,LRED004A,,
9/19/2023,11/9/2023,Lake Hogue,"Waldenburg, AR",Poinsett County,LWHI001A,,
9/28/2023,11/2/2023,Bois D'arc Lake,"Hope, AR",Hempstead County,LRED005A,,
5/30/2024,7/15/2024,Bois D'arc Lake,"Hope, AR",Hempstead County,LRED005A,,
7/31/2024,10/10/2024,Lake Atalanta,"Rogers, AR",Benton County,NA,36.337569,-94.09835
9/10/2024,11/25/2024,Lake Hogue,"Waldenburg, AR",Poinsett County,LWHI001A,,
9/23/2024,10/10/2024,Heritage Park Lake,"Piggott, AR",Clay County,NA,36.384836,-90.221385
9/24/2024,10/10/2024,Lake Flint Creek,"Siloam Springs, AR",Benton County,LARK009A,,
10/29/2024,1/22/2025,Lakewood Lake #1,"North Little Rock, AR",Pulaski County,NA,34.787817,-92.251508
11/19/2024,1/21/2025,Lake Bennett,"Greenbrier, AR",Faulkner County,LARK042,,
